Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
IKZF2 deficiency	IKZF2	AR	NA	NA	Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells. Normal Treg	normal B cell numbers, but low switched memory. dysregulated germinal centers	hypogammaglobulinemia with low/normal IgG vaccine responses	NA	NA	combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome. EBV-associated HLH, lymphoma	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	NA	NA	uniprot.org/IKZF2	ensembl.org/IKZF2	omim.org/IKZF2	GWAS/IKZF2	omni/IKZF2	gnomad.org/r2IKZF2	gnomad.org/r3IKZF2	rcsb.org/IKZF2	genenames.org/IKZF2	hpo/ORPHA/IKZF2	hpo.jax.org/IKZF2	amigo.org/IKZF2	alphafold/IKZF2	gemma/IKZF2	clinicalgenome.org/IKZF2
IL-21 deficiency	IL21	AR	NA	615767	Nl number, nl/low function	Low	NA	NA	NA	Severe early onset colitis, recurrent sinopulmonary infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/IL21	ensembl.org/IL21	omim.org/IL21	GWAS/IL21	omni/IL21	gnomad.org/r2IL21	gnomad.org/r3IL21	rcsb.org/IL21	genenames.org/IL21	hpo/ORPHA/IL21	hpo.jax.org/IL21	amigo.org/IL21	alphafold/IL21	gemma/IL21	clinicalgenome.org/IL21
IL-21R deficiency	IL21R	AR	NA	615207	Nl number, low cytokine production, poor antigen proliferation	Normal	NA	NA	NA	Recurrent infections, Pneumocystis jiroveci, Cryptosporidium infections and liver disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/IL21R	ensembl.org/IL21R	omim.org/IL21R	GWAS/IL21R	omni/IL21R	gnomad.org/r2IL21R	gnomad.org/r3IL21R	rcsb.org/IL21R	genenames.org/IL21R	hpo/ORPHA/IL21R	hpo.jax.org/IL21R	amigo.org/IL21R	alphafold/IL21R	gemma/IL21R	clinicalgenome.org/IL21R
ITK deficiency	ITK	AR	NA	186973	Progressive decrease	Normal	Variable	NA	NA	EBV associated B cell lymphoproliferation, lymphoma	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	238.79	D82.3	HP:0002715	HP:0020072	uniprot.org/ITK	ensembl.org/ITK	omim.org/ITK	GWAS/ITK	omni/ITK	gnomad.org/r2ITK	gnomad.org/r3ITK	rcsb.org/ITK	genenames.org/ITK	hpo/ORPHA/ITK	hpo.jax.org/ITK	amigo.org/ITK	alphafold/ITK	gemma/ITK	clinicalgenome.org/ITK
LCK deficiency	LCK	AR	NA	615758	Low CD4+, low Treg, restricted T cell repertoire, poor TCR signaling	Normal	NA	NA	NA	Recurrent infections, immune dysregulation, autoimmunity	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/LCK	ensembl.org/LCK	omim.org/LCK	GWAS/LCK	omni/LCK	gnomad.org/r2LCK	gnomad.org/r3LCK	rcsb.org/LCK	genenames.org/LCK	hpo/ORPHA/LCK	hpo.jax.org/LCK	amigo.org/LCK	alphafold/LCK	gemma/LCK	clinicalgenome.org/LCK
MALT1 deficiency	MALT1	AR	NA	615468	Nl number, poor proliferation	Normal	NA	NA	NA	Bacterial, fungal and viral infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/MALT1	ensembl.org/MALT1	omim.org/MALT1	GWAS/MALT1	omni/MALT1	gnomad.org/r2MALT1	gnomad.org/r3MALT1	rcsb.org/MALT1	genenames.org/MALT1	hpo/ORPHA/MALT1	hpo.jax.org/MALT1	amigo.org/MALT1	alphafold/MALT1	gemma/MALT1	clinicalgenome.org/MALT1
MAN2B2 deficiency	MAN2B2	AR	NA	NA	Low T cells and TRECs	Low	Normal IgM, low IgA, high IgE	NA	NA	Developmental delay, congenital disorder of glycosylation, microcephaly, vasculitis, arthritis, FTT	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/MAN2B2	ensembl.org/MAN2B2	omim.org/MAN2B2	GWAS/MAN2B2	omni/MAN2B2	gnomad.org/r2MAN2B2	gnomad.org/r3MAN2B2	rcsb.org/MAN2B2	genenames.org/MAN2B2	hpo/ORPHA/MAN2B2	hpo.jax.org/MAN2B2	amigo.org/MAN2B2	alphafold/MAN2B2	gemma/MAN2B2	clinicalgenome.org/MAN2B2
NIK deficiency	MAP3K14	AR	NA	604655	Nl number, poor proliferation to antigen	Low, low switched memory B cells	NA	NA	Low NK	Recurrent bacterial, viral and Cryptosporidium infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/MAP3K14	ensembl.org/MAP3K14	omim.org/MAP3K14	GWAS/MAP3K14	omni/MAP3K14	gnomad.org/r2MAP3K14	gnomad.org/r3MAP3K14	rcsb.org/MAP3K14	genenames.org/MAP3K14	hpo/ORPHA/MAP3K14	hpo.jax.org/MAP3K14	amigo.org/MAP3K14	alphafold/MAP3K14	gemma/MAP3K14	clinicalgenome.org/MAP3K14
Moesin deficiency	MSN	XL	NA	300988	Nl number, defective migration, proliferaton	Low number	NA	Low	NA	Recurrent infections with bacteria, varicella	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/MSN	ensembl.org/MSN	omim.org/MSN	GWAS/MSN	omni/MSN	gnomad.org/r2MSN	gnomad.org/r3MSN	rcsb.org/MSN	genenames.org/MSN	hpo/ORPHA/MSN	hpo.jax.org/MSN	amigo.org/MSN	alphafold/MSN	gemma/MSN	clinicalgenome.org/MSN
Polymerase d 1 deficiency	POLD1	AR	NA	174761	Low CD4 T cells	Low	Low	NA	NA	Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	HP:0002715	HP:0005403	uniprot.org/POLD1	ensembl.org/POLD1	omim.org/POLD1	GWAS/POLD1	omni/POLD1	gnomad.org/r2POLD1	gnomad.org/r3POLD1	rcsb.org/POLD1	genenames.org/POLD1	hpo/ORPHA/POLD1	hpo.jax.org/POLD1	amigo.org/POLD1	alphafold/POLD1	gemma/POLD1	clinicalgenome.org/POLD1
Polymerase d 2 deficiency	POLD2	AR	NA	600815	Low CD4 T cells	Low	Low	NA	NA	Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	HP:0002715	HP:0005403	uniprot.org/POLD2	ensembl.org/POLD2	omim.org/POLD2	GWAS/POLD2	omni/POLD2	gnomad.org/r2POLD2	gnomad.org/r3POLD2	rcsb.org/POLD2	genenames.org/POLD2	hpo/ORPHA/POLD2	hpo.jax.org/POLD2	amigo.org/POLD2	alphafold/POLD2	gemma/POLD2	clinicalgenome.org/POLD2
c-Rel deficiency	REL	AR	NA	164910	Normal	Low	Low	NA	NA	Recurrent infections with bacteria, mycobacteria, salmonella and opportunistic infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/REL	ensembl.org/REL	omim.org/REL	GWAS/REL	omni/REL	gnomad.org/r2REL	gnomad.org/r3REL	rcsb.org/REL	genenames.org/REL	hpo/ORPHA/REL	hpo.jax.org/REL	amigo.org/REL	alphafold/REL	gemma/REL	clinicalgenome.org/REL
RelA haplosufficiency	RELA	AD	NA	618287	Normal	Normal	Normal	NA	NA	Mucosal ulceration, impaired NFkB activation	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/RELA	ensembl.org/RELA	omim.org/RELA	GWAS/RELA	omni/RELA	gnomad.org/r2RELA	gnomad.org/r3RELA	rcsb.org/RELA	genenames.org/RELA	hpo/ORPHA/RELA	hpo.jax.org/RELA	amigo.org/RELA	alphafold/RELA	gemma/RELA	clinicalgenome.org/RELA
RelB deficiency	RELB	AR	NA	604758	Nl number, poor diversity, poor function	NA	NA	NA	NA	Recurrent infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/RELB	ensembl.org/RELB	omim.org/RELB	GWAS/RELB	omni/RELB	gnomad.org/r2RELB	gnomad.org/r3RELB	rcsb.org/RELB	genenames.org/RELB	hpo/ORPHA/RELB	hpo.jax.org/RELB	amigo.org/RELB	alphafold/RELB	gemma/RELB	clinicalgenome.org/RELB
MHC class II deficiency group C	RFX5	AR	NA	601863	Low CD4 cells	Normal	Normal to low	NA	NA	Respiratory and gastrointestinal infections, liver/biliary tract disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403	uniprot.org/RFX5	ensembl.org/RFX5	omim.org/RFX5	GWAS/RFX5	omni/RFX5	gnomad.org/r2RFX5	gnomad.org/r3RFX5	rcsb.org/RFX5	genenames.org/RFX5	hpo/ORPHA/RFX5	hpo.jax.org/RFX5	amigo.org/RFX5	alphafold/RFX5	gemma/RFX5	clinicalgenome.org/RFX5
MHC class II deficiency group B	RFXANK	AR	NA	603200	Low CD4 cells	Normal	Normal to low	NA	NA	Respiratory and gastrointestinal infections, liver/biliary tract disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403	uniprot.org/RFXANK	ensembl.org/RFXANK	omim.org/RFXANK	GWAS/RFXANK	omni/RFXANK	gnomad.org/r2RFXANK	gnomad.org/r3RFXANK	rcsb.org/RFXANK	genenames.org/RFXANK	hpo/ORPHA/RFXANK	hpo.jax.org/RFXANK	amigo.org/RFXANK	alphafold/RFXANK	gemma/RFXANK	clinicalgenome.org/RFXANK
MHC class II deficiency group D	RFXAP	AR	NA	601861	Low CD4 cells	Normal	Normal to low	NA	NA	Respiratory and gastrointestinal infections, liver/biliary tract disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403	uniprot.org/RFXAP	ensembl.org/RFXAP	omim.org/RFXAP	GWAS/RFXAP	omni/RFXAP	gnomad.org/r2RFXAP	gnomad.org/r3RFXAP	rcsb.org/RFXAP	genenames.org/RFXAP	hpo/ORPHA/RFXAP	hpo.jax.org/RFXAP	amigo.org/RFXAP	alphafold/RFXAP	gemma/RFXAP	clinicalgenome.org/RFXAP
Rhoh Deficiency	RHOH	AR	NA	602037	Nl number, low naïve T cells, restricted repertoire, poor proliferation to CD3	Normal	NA	NA	NA	HPV infection, lung granulomas, molluscum contagiosum, lymphoma	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/RHOH	ensembl.org/RHOH	omim.org/RHOH	GWAS/RHOH	omni/RHOH	gnomad.org/r2RHOH	gnomad.org/r3RHOH	rcsb.org/RHOH	genenames.org/RHOH	hpo/ORPHA/RHOH	hpo.jax.org/RHOH	amigo.org/RHOH	alphafold/RHOH	gemma/RHOH	clinicalgenome.org/RHOH
SASH3 deficiency	SASH3	XL	NA	NA	CD4+ T cell, NK cell lymphopenia low naïve CD4 and CD8 T cells	B cell lymphopenia hi  BM plasmablasts	low serum IgG, IgA  reduced specific Ab responses	NA	NA	Combined immunodeficiency and immune dysregulation, recurrent sinopulmonary, cutaneous and mucosal infections, refractory autoimmune cytopenias. increased levels of pro-inflammatory biomarkers, consistent with immune dysregulation. Low TCR-induced T cell signaling, proliferation/cell cycle progression, hi apoptosis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	NA	NA	uniprot.org/SASH3	ensembl.org/SASH3	omim.org/SASH3	GWAS/SASH3	omni/SASH3	gnomad.org/r2SASH3	gnomad.org/r3SASH3	rcsb.org/SASH3	genenames.org/SASH3	hpo/ORPHA/SASH3	hpo.jax.org/SASH3	amigo.org/SASH3	alphafold/SASH3	gemma/SASH3	clinicalgenome.org/SASH3
MST1 deficiency	STK4	AR	NA	614868	Low, low terminal differentiated  effector memory TEMRA cells, low naïve T cells, poor proliferation	Low	NA	NA	NA	Intermittent neutropenia, bacterial, viral HPV, candidal infections, EBV lymphoproliferation, autoimmune cytopenias, lymphoma, congenital heart disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/STK4	ensembl.org/STK4	omim.org/STK4	GWAS/STK4	omni/STK4	gnomad.org/r2STK4	gnomad.org/r3STK4	rcsb.org/STK4	genenames.org/STK4	hpo/ORPHA/STK4	hpo.jax.org/STK4	amigo.org/STK4	alphafold/STK4	gemma/STK4	clinicalgenome.org/STK4
MHC class I deficiency	TAP1	AR	NA	170260	Low CD8, Nl CD4, absent MHC I on lymphocytes	Normal	Normal	NA	NA	Vasculitis, pyoderma gangrenosum	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403	uniprot.org/TAP1	ensembl.org/TAP1	omim.org/TAP1	GWAS/TAP1	omni/TAP1	gnomad.org/r2TAP1	gnomad.org/r3TAP1	rcsb.org/TAP1	genenames.org/TAP1	hpo/ORPHA/TAP1	hpo.jax.org/TAP1	amigo.org/TAP1	alphafold/TAP1	gemma/TAP1	clinicalgenome.org/TAP1
MHC class I deficiency	TAP2	AR	NA	170261	Low CD8, Nl CD4, absent MHC I on lymphocytes	Normal	Normal	NA	NA	Vasculitis, pyoderma gangrenosum	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403	uniprot.org/TAP2	ensembl.org/TAP2	omim.org/TAP2	GWAS/TAP2	omni/TAP2	gnomad.org/r2TAP2	gnomad.org/r3TAP2	rcsb.org/TAP2	genenames.org/TAP2	hpo/ORPHA/TAP2	hpo.jax.org/TAP2	amigo.org/TAP2	alphafold/TAP2	gemma/TAP2	clinicalgenome.org/TAP2
MHC class I deficiency	TAPBP	AR	NA	601962	Low CD8, Nl CD4, absent MHC I on lymphocytes	Normal	Normal	NA	NA	Vasculitis,pyoderma gangrenosum	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403	uniprot.org/TAPBP	ensembl.org/TAPBP	omim.org/TAPBP	GWAS/TAPBP	omni/TAPBP	gnomad.org/r2TAPBP	gnomad.org/r3TAPBP	rcsb.org/TAPBP	genenames.org/TAPBP	hpo/ORPHA/TAPBP	hpo.jax.org/TAPBP	amigo.org/TAPBP	alphafold/TAPBP	gemma/TAPBP	clinicalgenome.org/TAPBP
TFRC deficiency	TFRC	AR	NA	616740	Nl number, poor proliferation	Nl number, low memory B cells	NA	Low	NA	Recurrent infections, thrombocytopenia	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/TFRC	ensembl.org/TFRC	omim.org/TFRC	GWAS/TFRC	omni/TFRC	gnomad.org/r2TFRC	gnomad.org/r3TFRC	rcsb.org/TFRC	genenames.org/TFRC	hpo/ORPHA/TFRC	hpo.jax.org/TFRC	amigo.org/TFRC	alphafold/TFRC	gemma/TFRC	clinicalgenome.org/TFRC
OX40 deficiency	TNFRSF4	AR	NA	615593	Nl numbers, low antigen specific memory CD4+	Nl numbers, low memory B cells	NA	NA	NA	Impaired immunity to HHV8, Kaposi’s sarcoma	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/TNFRSF4	ensembl.org/TNFRSF4	omim.org/TNFRSF4	GWAS/TNFRSF4	omni/TNFRSF4	gnomad.org/r2TNFRSF4	gnomad.org/r3TNFRSF4	rcsb.org/TNFRSF4	genenames.org/TNFRSF4	hpo/ORPHA/TNFRSF4	hpo.jax.org/TNFRSF4	amigo.org/TNFRSF4	alphafold/TNFRSF4	gemma/TNFRSF4	clinicalgenome.org/TNFRSF4
TCRα deficiency	TRAC	AR	NA	615387	Absent TCRαβ, all T cells are γδ, poor proliferation	Normal	NA	NA	NA	Recurrent viral, bacterial, fungal infections, immune dysregulation and autoimmunity, diarrhea	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/TRAC	ensembl.org/TRAC	omim.org/TRAC	GWAS/TRAC	omni/TRAC	gnomad.org/r2TRAC	gnomad.org/r3TRAC	rcsb.org/TRAC	genenames.org/TRAC	hpo/ORPHA/TRAC	hpo.jax.org/TRAC	amigo.org/TRAC	alphafold/TRAC	gemma/TRAC	clinicalgenome.org/TRAC
ZAP-70 deficiency ZAP70 LOF	ZAP70	AR	NA	176947	Low CD8, Nl CD4 number but poor function	Normal	Nl	NA	NA	May have immune dysregulation, autoimmunity	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/ZAP70	ensembl.org/ZAP70	omim.org/ZAP70	GWAS/ZAP70	omni/ZAP70	gnomad.org/r2ZAP70	gnomad.org/r3ZAP70	rcsb.org/ZAP70	genenames.org/ZAP70	hpo/ORPHA/ZAP70	hpo.jax.org/ZAP70	amigo.org/ZAP70	alphafold/ZAP70	gemma/ZAP70	clinicalgenome.org/ZAP70
ZAP70 combined hypomorphic GOF	ZAP70	AR	LOF/GOF	176947	Decreased CD8, normal or decreased CD4 cells	Normal or decreased	NA	NA	NA	Severe autoimmunity	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/ZAP70	ensembl.org/ZAP70	omim.org/ZAP70	GWAS/ZAP70	omni/ZAP70	gnomad.org/r2ZAP70	gnomad.org/r3ZAP70	rcsb.org/ZAP70	genenames.org/ZAP70	hpo/ORPHA/ZAP70	hpo.jax.org/ZAP70	amigo.org/ZAP70	alphafold/ZAP70	gemma/ZAP70	clinicalgenome.org/ZAP70
ARPC1B deficiency	ARPC1B	AR	NA	604223	Normal	Normal Numbers	High IgE	NA	NA	Mild thrombocytopenia with normal sized platelets, recurrent invasive infections, colitis, vasculitis, autoantibodies ANA, ANCA, eosinophilia, defective Arp2/3, filament branching	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/ARPC1B	ensembl.org/ARPC1B	omim.org/ARPC1B	GWAS/ARPC1B	omni/ARPC1B	gnomad.org/r2ARPC1B	gnomad.org/r3ARPC1B	rcsb.org/ARPC1B	genenames.org/ARPC1B	hpo/ORPHA/ARPC1B	hpo.jax.org/ARPC1B	amigo.org/ARPC1B	alphafold/ARPC1B	gemma/ARPC1B	clinicalgenome.org/ARPC1B
Wiskott-Aldrich syndrome WAS LOF	WAS	XL	NA	300392	Progressive decrease in numbers,  Abnormal lymphocyte responses to anti-CD3	Normal numbers	High IgE, low IgM	NA	NA	Thrombocytopenia with small platelets, recurrent bacterial and viral infections, bloody diarrhea,  eczema, lymphoma, autoimmune disease, IgA nephropathy, vasculitis. XL thrombocytopenia is a mild form of WAS	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.12	D82.0	HP:0002715	HP:0005403	uniprot.org/WAS	ensembl.org/WAS	omim.org/WAS	GWAS/WAS	omni/WAS	gnomad.org/r2WAS	gnomad.org/r3WAS	rcsb.org/WAS	genenames.org/WAS	hpo/ORPHA/WAS	hpo.jax.org/WAS	amigo.org/WAS	alphafold/WAS	gemma/WAS	clinicalgenome.org/WAS
WIP deficiency	WIPF1	AR	NA	602357	Reduced, defective lymphocyte responses to anti-CD3	Normal or low	High IgE	NA	NA	Thrombocytopenia with or without small platelets, recurrent bacterial and viral infections, eczema, bloody diarrhea, WAS protein absent	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/WIPF1	ensembl.org/WIPF1	omim.org/WIPF1	GWAS/WIPF1	omni/WIPF1	gnomad.org/r2WIPF1	gnomad.org/r3WIPF1	rcsb.org/WIPF1	genenames.org/WIPF1	hpo/ORPHA/WIPF1	hpo.jax.org/WIPF1	amigo.org/WIPF1	alphafold/WIPF1	gemma/WIPF1	clinicalgenome.org/WIPF1
Ataxia-telangiectasia	ATM	AR	NA	607585	Progressive decrease, abnormal proliferation to mitogens	Normal	Variable	NA	NA	Ataxia, telangiectasia, pulmonary infections, lymphoreticular and other malignancies, increased alpha fetoprotein,  increased radiosensitivity, chromosomal instability and chromosomal translocations	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	362.15	D81.9	HP:0002715	HP:0005403	uniprot.org/ATM	ensembl.org/ATM	omim.org/ATM	GWAS/ATM	omni/ATM	gnomad.org/r2ATM	gnomad.org/r3ATM	rcsb.org/ATM	genenames.org/ATM	hpo/ORPHA/ATM	hpo.jax.org/ATM	amigo.org/ATM	alphafold/ATM	gemma/ATM	clinicalgenome.org/ATM
Bloom Syndrome	BLM	AR	NA	604610	Normal	Normal	Low	NA	NA	Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/BLM	ensembl.org/BLM	omim.org/BLM	GWAS/BLM	omni/BLM	gnomad.org/r2BLM	gnomad.org/r3BLM	rcsb.org/BLM	genenames.org/BLM	hpo/ORPHA/BLM	hpo.jax.org/BLM	amigo.org/BLM	alphafold/BLM	gemma/BLM	clinicalgenome.org/BLM
Immunodeficiency with centromeric instability and facial anomalies, ICF3	CDCA7	AR	NA	609937	responses to PHA may be decreased	Decreased or normal	Variably low IgG, IgA	NA	NA	Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/CDCA7	ensembl.org/CDCA7	omim.org/CDCA7	GWAS/CDCA7	omni/CDCA7	gnomad.org/r2CDCA7	gnomad.org/r3CDCA7	rcsb.org/CDCA7	genenames.org/CDCA7	hpo/ORPHA/CDCA7	hpo.jax.org/CDCA7	amigo.org/CDCA7	alphafold/CDCA7	gemma/CDCA7	clinicalgenome.org/CDCA7
Immunodeficiency with centromeric instability and facial anomalies, ICF1	DNMT3B	AR	NA	602900	Decreased or normal, responses to PHA may be decreased	Decreased or normal	Variably low IgG, IgA	NA	NA	Facial dysmorphic features, developmental delay, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/DNMT3B	ensembl.org/DNMT3B	omim.org/DNMT3B	GWAS/DNMT3B	omni/DNMT3B	gnomad.org/r2DNMT3B	gnomad.org/r3DNMT3B	rcsb.org/DNMT3B	genenames.org/DNMT3B	hpo/ORPHA/DNMT3B	hpo.jax.org/DNMT3B	amigo.org/DNMT3B	alphafold/DNMT3B	gemma/DNMT3B	clinicalgenome.org/DNMT3B
GINS1 deficiency	GINS1	AR	NA	610608	Low or normal	Low or normal	High IgA, low IgM and IgG	Low	Low NK	IUGR	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/GINS1	ensembl.org/GINS1	omim.org/GINS1	GWAS/GINS1	omni/GINS1	gnomad.org/r2GINS1	gnomad.org/r3GINS1	rcsb.org/GINS1	genenames.org/GINS1	hpo/ORPHA/GINS1	hpo.jax.org/GINS1	amigo.org/GINS1	alphafold/GINS1	gemma/GINS1	clinicalgenome.org/GINS1
